PATH,惡意軟體名稱,type,DNS數量
experimentData/milaOutput/,Alurewo,2,3
experimentData/milaOutput/,Blackhole,2,20
experimentData/milaOutput/,Cidox_Nuclear-EK_malware-traff-analysis-blog,2,3
experimentData/milaOutput/,Citadel,4,217
experimentData/milaOutput/,cryptolocker,3,130
experimentData/milaOutput/,Cutwail,2,366
experimentData/milaOutput/,Darkmegi,2,7
experimentData/milaOutput/,dirtjumper,2,163
experimentData/milaOutput/,DNSChanger,2,2
experimentData/milaOutput/,Gypthoy,2,3
experimentData/milaOutput/,HorstProxy,2,2
experimentData/milaOutput/,Imaut,2,8
experimentData/milaOutput/,IRCbot,2,2
experimentData/milaOutput/,Kuluoz-Asprox,2,286
experimentData/milaOutput/,Lader-dlGameoverZeus,2,4
experimentData/milaOutput/,LoadMoney_MailRu_dl,2,4
experimentData/milaOutput/,Malware_traffic_analysis_blog,2,4
experimentData/milaOutput/,MatsnuMBRwiping,2,4
experimentData/milaOutput/,Nitedrem,2,5
experimentData/milaOutput/,PassAlert,2,2
experimentData/milaOutput/,Pony,2,3
experimentData/milaOutput/,PowerLoader,2,2
experimentData/milaOutput/,purplehaze,2,377
experimentData/milaOutput/,Ramnitpcap,3,20404
experimentData/milaOutput/,Sality,2,1216
experimentData/milaOutput/,Smokekt150_Malwaredontneedcoffee,2,8
experimentData/milaOutput/,SpyEye,2,4
experimentData/milaOutput/,Stabuniq,2,3
experimentData/milaOutput/,Styx+BIN_Simda_Proxyer_Malware_traffic_analysis_blog,2,4
experimentData/milaOutput/,Tbot,2,6
experimentData/milaOutput/,Tijcont,2,7
experimentData/milaOutput/,Tinba,2,3
experimentData/milaOutput/,torpigminiloader,4,107
experimentData/milaOutput/,Vobfus,2,3
experimentData/milaOutput/,Win.Trojan.Waski_document,2,2
experimentData/milaOutput/,Wordpress_Mutopy_Symmi,2,129
experimentData/milaOutput/,ZeroAccess,2,78
experimentData/milaOutput/,Zeus,2,23
experimentData/dga-11malware/,conficker,4,100000
experimentData/dga-11malware/,cryptolocker,3,101667
experimentData/dga-11malware/,goz,3,1667
experimentData/dga-11malware/,matsnu,3,100000
experimentData/dga-11malware/,newgoz,3,1666
experimentData/dga-11malware/,others,4,2669
experimentData/dga-11malware/,pushdo,4,100000
experimentData/dga-11malware/,ramdo,3,100000
experimentData/dga-11malware/,rovnix,3,100000
experimentData/dga-11malware/,tinba,3,100000
experimentData/dga-11malware/,zeus,3,100000
data/,GameOverZeus.v2,3,871